Path,Server,Location,Branch,SubBranch,ControlProgram,Point,Zone,BacnetAddress,BacnetDevId,BacnetObjectType,PointType,ComponentId,PathMappingsId
#001_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-001,"Air Flow Feedback",4,20603:2,43,BAV,3,1,2
#001_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-001,"Room Occupied",4,20603:2,961,BBV,3,1,5
#001_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-001,"htg setpt",4,20603:2,58,BAV,3,1,4
#001_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-001,"clg setpt",4,20603:2,16,BAV,3,1,3
#001_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-001,"Zone Temp",4,20603:2,510,BAV,3,1,7
#001_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-001,"Supply Air",4,20603:2,52,BAV,4,1,6
#002_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-002,"Air Flow Feedback",4,20603:2,30,BAV,3,2,2
#002_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-002,"Room Occupied",4,20603:2,969,BBV,3,2,5
#002_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-002,"htg setpt",4,20603:2,217,BAV,3,2,4
#002_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-002,"clg setpt",4,20603:2,114,BAV,3,2,3
#002_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-002,"Zone Temp",4,20603:2,518,BAV,3,2,7
#002_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-002,"Supply Air",4,20603:2,36,BAV,3,2,6
#00c1_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C1,"Air Flow Feedback",4,20603:2,69,BAV,3,3,2
#00c1_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C1,"Room Occupied",4,20603:2,981,BBV,3,3,5
#00c1_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C1,"htg setpt",4,20603:2,331,BAV,3,3,4
#00c1_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C1,"clg setpt",4,20603:2,330,BAV,3,3,3
#00c1_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C1,"Zone Temp",4,20603:2,528,BAV,3,3,7
#00c1_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C1,"Supply Air",4,20603:2,78,BAV,3,3,6
#0c6a_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6A,"Air Flow Feedback",4,20603:2,82,BAV,3,4,2
#0c6a_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6A,"Room Occupied",4,20603:2,996,BBV,3,4,5
#0c6a_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6A,"htg setpt",4,20603:2,427,BAV,3,4,4
#0c6a_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6A,"clg setpt",4,20603:2,411,BAV,3,4,3
#0c6a_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6A,"Zone Temp",4,20603:2,533,BAV,3,4,7
#0c6a_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6A,"Supply Air",4,20603:2,91,BAV,3,4,6
#0c6b_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6B,"Air Flow Feedback",4,20603:2,95,BAV,3,5,2
#0c6b_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6B,"Room Occupied",4,20603:2,1010,BBV,3,5,5
#0c6b_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6B,"htg setpt",4,20603:2,487,BAV,3,5,4
#0c6b_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6B,"clg setpt",4,20603:2,486,BAV,3,5,3
#0c6b_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6B,"Zone Temp",4,20603:2,541,BAV,3,5,7
#0c6b_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-0C6B,"Supply Air",4,20603:2,104,BAV,3,5,6
#120a1_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-1,"Air Flow Feedback",4,20606:41,1284,BAV,3,6,2
#120a1_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-1,"Room Occupied",4,20606:41,846,BBV,3,6,5
#120a1_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-1,"htg setpt",4,20606:41,209,BAV,3,6,4
#120a1_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-1,"clg setpt",4,20606:41,208,BAV,3,6,3
#120a1_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-1,"Zone Temp",4,20606:41,435,BAV,3,6,7
#120a1_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-1,"Supply Air",4,20606:41,1293,BAV,3,6,6
#120a2_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"Air Flow Feedback",4,20606:41,1297,BAV,3,7,2
#120a2_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"Room Occupied",4,20606:41,853,BBV,3,7,5
#120a2_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"htg setpt",4,20606:41,215,BAV,3,7,4
#120a2_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"clg setpt",4,20606:41,214,BAV,3,7,3
#120a2_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"Zone Temp",4,20606:41,436,BAV,3,7,7
#120a2_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"Supply Air",4,20606:41,1306,BAV,3,7,6
#120a3_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"Air Flow Feedback",4,20606:41,1310,BAV,3,8,2
#120a3_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"Room Occupied",4,20606:41,860,BBV,3,8,5
#120a3_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"htg setpt",4,20606:41,221,BAV,3,8,4
#120a3_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"clg setpt",4,20606:41,220,BAV,3,8,3
#120a3_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"Zone Temp",4,20606:41,437,BAV,3,8,7
#120a3_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"Supply Air",4,20606:41,1319,BAV,3,8,6
