Path,Server,Location,Branch,SubBranch,ControlProgram,Point,Zone,BacnetAddress,BacnetDevId,BacnetObjectType,PointType,ComponentId,PathMappingsId
#001_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206",Basement,,Room-001,"Supply Air",4,20603:2,-1,,0,1,6
#ahu-3_0206/m045,10.20.0.47,"Science & Engineering 2: 0206",Roof,,AHU-3,"Cl Req",3,20606:24,-1,,0,5,24
#ahu-3_0206/sf_cfm_tnd,10.20.0.47,"Science & Engineering 2: 0206",Roof,,AHU-3,"Supply Fan 3 Total  CFM",3,20606:24,-1,,0,30,23
#ahu-4_0206/m045,10.20.0.47,"Science & Engineering 2: 0206",Roof,,AHU-4,"Cl Req",4,20620:75,-1,,0,2,24
#ahu_1b_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-1B Supply",1610_power_kw,1_2,20606:30,-1,,0,2,46
#ahu_1b_supply/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-1B Supply",1617_speed_rpm,1_2,20606:30,-1,,0,2,47
#ahu_1c_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-1C Supply",1610_power_kw,1_2,20606:30,-1,,0,3,46
#ahu_1c_supply/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-1C Supply",1617_speed_rpm,1_2,20606:30,-1,,0,3,47
#ahu_1d_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-1D Supply",1610_power_kw,1_2,20606:30,-1,,0,4,46
#ahu_1d_supply/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-1D Supply",1617_speed_rpm,1_2,20606:30,-1,,0,4,47
#ahu_2a_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-2A Supply",1610_power_kw,1_2,20606:41,-1,,0,5,46
#ahu_2a_supply/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-2A Supply",1617_speed_rpm,1_2,20606:41,-1,,0,5,47
#ahu_2b_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-2B Supply",1610_power_kw,1_2,20606:41,-1,,0,6,46
#ahu_2b_supply/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-2B Supply",1617_speed_rpm,1_2,20606:41,-1,,0,6,47
#ahu_2c_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-2C Supply",1610_power_kw,1_2,20606:41,-1,,0,7,46
#ahu_2c_supply/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-2C Supply",1617_speed_rpm,1_2,20606:41,-1,,0,7,47
#ahu_2d_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-2D Supply",1610_power_kw,1_2,20606:41,-1,,0,8,46
#ahu_2d_supply/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-2D Supply",1617_speed_rpm,1_2,20606:41,-1,,0,8,47
#ahu_3a_return/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3A Return",1610_power_kw,3,20606:30,-1,,0,9,46
#ahu_3a_return/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3A Return",1617_speed_rpm,3,20606:30,-1,,0,9,47
#ahu_3a_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3A Supply",1610_power_kw,3,20606:30,-1,,0,10,46
#ahu_3a_supply/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3A Supply",1617_speed_rpm,3,20606:30,-1,,0,10,47
#ahu_3b_return/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3B Return",1610_power_kw,3,20606:30,-1,,0,11,46
#ahu_3b_return/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3B Return",1617_speed_rpm,3,20606:30,-1,,0,11,47
#ahu_3b_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3B Supply",1610_power_kw,3,20606:30,-1,,0,12,46
#ahu_3b_supply/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3B Supply",1617_speed_rpm,3,20606:30,-1,,0,12,47
#ahu_3c_return/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3C Return",1610_power_kw,3,20606:30,-1,,0,13,46
#ahu_3c_return/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3C Return",1617_speed_rpm,3,20606:30,-1,,0,13,47
#ahu_3c_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3C Supply",1610_power_kw,3,20606:30,-1,,0,14,46
#ahu_3c_supply/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3C Supply",1617_speed_rpm,3,20606:30,-1,,0,14,47
#ahu_3d_return/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3D Return",1610_power_kw,3,20606:30,-1,,0,15,46
#ahu_3d_return/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3D Return",1617_speed_rpm,3,20606:30,-1,,0,15,47
#ahu_3d_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3D Supply",1610_power_kw,3,20606:30,-1,,0,16,46
#ahu_3d_supply/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-3D Supply",1617_speed_rpm,3,20606:30,-1,,0,16,47
#ahu_4a_return/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-4A Return",1610_power_kw,4,20603:2,-1,,0,17,46
#ahu_4a_return/speed_rpm_1617_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-4A Return",1617_speed_rpm,4,20603:2,-1,,0,17,47
#ahu_4a_supply/power_kw_1610_tn,10.20.0.47,"Science & Engineering 2: 0206",VFD,,"AHU-4A Supply",1610_power_kw,4,20603:2,-1,,0,18,46
