"Location","Control Program","Name","Value","Type","Object ID","Device ID","Object Name","Path"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","1500_operating_hours","36857.0 hr","BAV","AV:137","DEV:220602","operating_hours_1500_d_1","#cwp-1/operating_hours_1500_d"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","1501_running_hours","14034.0 hr","BAV","AV:138","DEV:220602","running_hours_1501_d_1","#cwp-1/running_hours_1501_d"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","1502_kwh_counter","19936.0 kWh","BAV","AV:139","DEV:220602","kwh_counter_1502_d_1","#cwp-1/kwh_counter_1502_d"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","1530_alarm_log_error_code","7.0" ,"BAV","AV:140","DEV:220602","alarm_log_error_code_1530_d_1","#cwp-1/alarm_log_error_code_1530_d"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","1602_reference_percent","0.0 %","BAV","AV:141","DEV:220602","reference_percent_1602_d_1","#cwp-1/reference_percent_1602_d"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","1603_status_word_1","3590.359" ,"BAV","AV:142","DEV:220602","status_word_1_1603_d_1","#cwp-1/status_word_1_1603_d"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","1610_power_kw","0.2 kW","BAV","AV:143","DEV:220602","power_kw_1610_d_1","#cwp-1/power_kw_1610_d"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","1613_frequency","15.0015 Hz","BAV","AV:144","DEV:220602","frequency_1613_d_1","#cwp-1/frequency_1613_d"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","1614_motor_current","8.0008 A","BAV","AV:145","DEV:220602","motor_current_1614_d_1","#cwp-1/motor_current_1614_d"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","1615_frequency_percent","20.002 %","BAV","AV:146","DEV:220602","frequency_percent_1615_d_1","#cwp-1/frequency_percent_1615_d"
